HJD-2450000	I_Mag	Err
5397.605700000189	16.355	0.009
5397.651740000118	16.336	0.011
5397.689580000006	16.355	0.01
5402.51996999979	16.335	0.014
5403.480789999943	16.338	0.007
5403.51837999979	16.346	0.007
5403.555530000012	16.34	0.007
5403.594269999769	16.346	0.008
5403.635110000148	16.344	0.007
5403.673390000127	16.35	0.007
5403.714240000118	16.337	0.007
5403.752150000073	16.355	0.007
5403.789969999809	16.362	0.01
5404.493890000042	16.347	0.007
5404.531700000167	16.358	0.007
5404.569409999996	16.355	0.008
5404.609590000007	16.35	0.008
5404.651349999942	16.355	0.008
5404.691240000073	16.365	0.008
5404.729030000046	16.361	0.009
5404.771720000077	16.343	0.008
5405.629269999918	16.35	0.009
5405.668819999788	16.353	0.008
5405.7069000001065	16.345	0.008
5405.744359999895	16.358	0.008
5405.781990000047	16.356	0.007
5407.4837600002065	16.354	0.009
5407.521629999857	16.348	0.008
5407.559909999836	16.352	0.008
5407.598970000166	16.336	0.01
5407.6385499998	16.345	0.009
5407.67659999989	16.346	0.009
5407.715809999965	16.345	0.008
5407.753740000073	16.346	0.008
5408.503000000026	16.344	0.009
5408.545729999896	16.355	0.009
5408.594690000173	16.367	0.008
5408.6335599999875	16.348	0.008
5408.672230000142	16.342	0.008
5408.710109999869	16.362	0.009
5408.747820000164	16.369	0.01
5408.785389999859	16.348	0.009
5409.495589999948	16.355	0.007
5409.559429999907	16.359	0.007
5409.666209999938	16.359	0.006
5409.74990000017	16.341	0.007
5409.787669999991	16.357	0.009
5410.500020000152	16.373	0.008
5410.561689999886	16.35	0.007
5410.670200000051	16.361	0.007
5410.754269999918	16.345	0.008
5411.47660999978	16.342	0.007
5411.514510000125	16.356	0.007
5411.597479999997	16.348	0.007
5411.705730000045	16.352	0.006
5411.767219999805	16.342	0.007
5412.5383700001985	16.344	0.008
5412.578259999864	16.343	0.009
5412.617019999772	16.346	0.008
5412.654800000135	16.347	0.009
5412.699190000072	16.363	0.009
5413.478560000192	16.355	0.009
5413.517940000165	16.364	0.006
5413.6247800001875	16.347	0.007
5413.732259999961	16.362	0.007
5413.770010000095	16.372	0.01
5414.49821999995	16.339	0.006
5414.559479999822	16.347	0.006
5414.66893000016	16.364	0.006
5414.756599999964	16.353	0.006
5416.615249999799	16.339	0.008
5416.671980000101	16.346	0.008
5418.534250000026	16.344	0.007
5418.580769999884	16.357	0.006
5418.630950000137	16.364	0.007
5418.682510000188	16.347	0.008
5421.489719999954	16.353	0.007
5421.533830000088	16.357	0.007
5421.5934199998155	16.352	0.007
5421.639599999879	16.345	0.007
5421.681880000047	16.349	0.008
5421.726290000137	16.335	0.009
5422.515589999966	16.336	0.007
5422.561670000199	16.36	0.007
5422.71566000022	16.355	0.006
5423.499590000138	16.334	0.006
5423.541889999993	16.374	0.006
5423.675609999802	16.356	0.008
5425.507040000055	16.347	0.007
5425.548299999908	16.341	0.007
5426.514979999978	16.338	0.01
5426.593979999889	16.343	0.011
5426.734470000025	16.339	0.01
5430.500529999845	16.366	0.009
5430.546999999788	16.35	0.008
5430.585270000156	16.365	0.008
5430.624249999877	16.37	0.008
5430.665380000137	16.348	0.009
5431.50168999983	16.347	0.008
5431.54224999994	16.361	0.008
5431.580260000192	16.358	0.007
5431.621650000103	16.356	0.009
5431.659310000017	16.365	0.009
5432.526190000121	16.357	0.012
5432.638710000087	16.347	0.01
5433.536590000149	16.352	0.01
5433.662000000011	16.337	0.009
5434.4876899998635	16.343	0.009
5434.532759999856	16.366	0.008
5434.577130000107	16.341	0.007
5434.61950000003	16.339	0.007
5434.664230000228	16.353	0.008
5434.704309999943	16.355	0.008
5435.503760000225	16.368	0.008
5435.546569999773	16.351	0.008
5435.616479999851	16.337	0.007
5435.66995000001	16.346	0.007
5435.708889999893	16.359	0.008
5436.5022300002165	16.353	0.008
5436.64617000008	16.34	0.007
5437.484819999896	16.345	0.006
5437.581749999896	16.352	0.007
5438.497400000226	16.348	0.008
5438.536869999953	16.354	0.008
5438.638309999835	16.347	0.007
5438.67631000001	16.353	0.007
5439.489740000106	16.343	0.009
5439.554800000042	16.343	0.009
5439.59216	16.36	0.009
5439.630179999862	16.342	0.009
5439.675979999825	16.356	0.009
5443.5224700002	16.321	0.008
5443.568589999806	16.357	0.008
5443.606420000084	16.36	0.009
5443.648940000217	16.352	0.007
5443.687870000023	16.346	0.007
5444.520500000101	16.356	0.01
5444.569089999888	16.336	0.008
5444.620759999845	16.358	0.008
5444.658830000088	16.347	0.008
5445.499319999944	16.35	0.007
5445.628659999929	16.346	0.007
5445.667909999844	16.337	0.007
5446.502479999792	16.341	0.008
5446.547790000215	16.354	0.007
5446.588949999772	16.347	0.007
5446.626960000023	16.348	0.007
5447.474419999868	16.362	0.009
5447.518920000177	16.347	0.007
5447.558050000109	16.321	0.008
5447.623370000161	16.351	0.007
5448.489990000147	16.34	0.006
5448.534099999815	16.355	0.008
5448.617289999966	16.36	0.007
5449.490950000007	16.348	0.008
5449.531659999862	16.355	0.008
5449.583209999837	16.351	0.007
5450.493689999916	16.35	0.008
5450.53134999983	16.337	0.008
5450.569379999768	16.325	0.009
5450.619450000115	16.362	0.009
5451.491049999837	16.331	0.01
5451.530559999868	16.346	0.01
5451.659649999812	16.356	0.007
5453.493319999892	16.351	0.01
5453.581950000022	16.331	0.008
5457.500430000015	16.337	0.006
5457.571729999967	16.334	0.006
5457.613539999817	16.303	0.007
5458.490809999872	16.332	0.009
5458.555769999977	16.342	0.009
5458.6252199998125	16.356	0.009
5459.5210000001825	16.36	0.008
5459.564069999848	16.34	0.007
5459.605109999888	16.333	0.007
5460.509670000058	16.337	0.009
5460.550700000022	16.321	0.009
5460.591719999909	16.312	0.01
5461.511620000005	16.301	0.01
5461.5528899999335	16.296	0.01
5461.603380000219	16.36	0.009
5462.497899999842	16.354	0.009
5462.5648199999705	16.358	0.008
5463.517179999966	16.344	0.007
5463.6276199999265	16.326	0.008
5464.509229999967	16.335	0.008
5464.595360000152	16.318	0.008
5465.522630000021	16.318	0.009
5467.502470000181	16.352	0.008
5468.575980000198	16.329	0.009
5470.526870000176	16.353	0.008
5471.534200000111	16.36	0.008
5471.59896000009	16.339	0.007
5472.565630000085	16.336	0.007
5473.51576999994	16.347	0.009
5476.50530999992	16.345	0.008
5478.493439999875	16.332	0.009
5479.521029999945	16.363	0.007
5480.508229999803	16.319	0.009
5480.5719099999405	16.351	0.009
5481.546970000025	16.351	0.012
5485.524720000103	16.362	0.008
5486.511140000075	16.342	0.009
5487.4941799999215	16.359	0.007
5487.5545299998485	16.352	0.009
5488.544489999767	16.339	0.008
5489.53264999995	16.333	0.009
5490.531039999798	16.348	0.011
5492.535949999932	16.341	0.011
5494.537909999955	16.34	0.01
5495.541889999993	16.328	0.009
5497.539419999812	16.339	0.011
5502.507879999932	16.334	0.009
5597.867000000086	16.343	0.008
5598.856209999882	16.359	0.007
5599.866009999998	16.343	0.007
5602.870550000109	16.351	0.009
5604.878719999921	16.357	0.008
5605.876860000193	16.341	0.006
5606.874569999985	16.339	0.008
5607.879250000231	16.342	0.007
5608.873800000176	16.337	0.008
